model,fold,num_layers,hidden_dim,heads,lr,test_mse,test_mae,test_rmse
GAT,2,3,16,2,0.1,23.565452575683594,4.64144229888916,4.854426080978429
GAT,2,3,16,4,0.001,9678173.0,2701.20263671875,3110.9762133452577
GAT,2,3,16,4,0.01,102321.6171875,276.0482482910156,319.87750340950834
GAT,2,3,16,4,0.1,2.0226430892944336,1.2131216526031494,1.42219657195988
GAT,2,3,32,1,0.001,2418217.0,1348.5528564453125,1555.0617351089313
GAT,2,3,32,1,0.01,5239416.5,1985.2569580078125,2288.977173324365
GAT,2,3,32,1,0.1,21.04180145263672,4.3611159324646,4.587134339937814
GAT,2,3,32,2,0.001,825932.6875,787.51904296875,908.8083887707023
GAT,2,3,32,2,0.01,16293.68359375,111.7298583984375,127.64671399511231
GAT,2,3,32,2,0.1,11.237607955932617,3.0653152465820312,3.3522541604020146
GAT,2,3,32,4,0.001,1967348.75,1216.7166748046875,1402.622098072036
GAT,2,3,32,4,0.01,2023594.25,1235.0772705078125,1422.5309311224132
GAT,2,3,32,4,0.1,2.0232512950897217,1.2080037593841553,1.4224103820943244
GAT,3,1,8,1,0.001,153234358272.0,339745.0,391451.60399722465
GAT,3,1,8,1,0.01,444820.59375,580.3602294921875,666.9487189807024
GAT,3,1,8,1,0.1,68497112.0,7191.33544921875,8276.298206323887
GAT,3,1,8,2,0.001,15130818560.0,106757.203125,123007.39229818669
GAT,3,1,8,2,0.01,121161536.0,9555.6044921875,11007.340096499245
GAT,3,1,8,2,0.1,19592080.0,3840.659912109375,4426.294161033584
GAT,3,1,8,4,0.001,17398434.0,3621.7216796875,4171.143008816648
GAT,3,1,8,4,0.01,71947800.0,7366.716796875,8482.204902028718
GAT,3,1,8,4,0.1,92102536.0,8330.4912109375,9597.006616648756
GAT,3,1,16,1,0.001,21152170.0,3994.29443359375,4599.14883429532
GAT,3,1,16,1,0.01,4108209.0,1759.392333984375,2026.8717275644258
GAT,3,1,16,1,0.1,16.95146942138672,3.8604800701141357,4.1172162223262845
GAT,3,1,16,2,0.001,160463.296875,352.8075256347656,400.5787024730596
GAT,3,1,16,2,0.01,1469780.125,1060.64013671875,1212.3448869855474
GAT,3,1,16,2,0.1,3910865.0,1717.376953125,1977.590705884309
GAT,3,1,16,4,0.001,39924812.0,5483.84130859375,6318.608391093722
GAT,3,1,16,4,0.01,17243800.0,3605.185546875,4152.565472090717
GAT,3,1,16,4,0.1,2469627.75,1362.9749755859375,1571.5049315862805
GAT,3,1,32,1,0.001,1170963456.0,29684.13671875,34219.343301705834
GAT,3,1,32,1,0.01,7495806.5,2375.054931640625,2737.8470556260077
GAT,3,1,32,1,0.1,69277088.0,7224.5595703125,8323.28588959913
GAT,3,1,32,2,0.001,14804741.0,3347.5400390625,3847.6929451295878
GAT,3,1,32,2,0.01,3106099.0,1526.9769287109375,1762.4128347240326
GAT,3,1,32,2,0.1,18.33883285522461,4.03617000579834,4.282386350532214
GAT,3,1,32,4,0.001,7941.63916015625,76.71958923339844,89.11587490540757
GAT,3,1,32,4,0.01,21631582.0,4037.462646484375,4650.976456616395
GAT,3,1,32,4,0.1,17.524412155151367,3.9339866638183594,4.186216926432667
GAT,3,2,8,1,0.001,2027146.875,1222.9156494140625,1423.7790822315096
GAT,3,2,8,1,0.01,1213648.125,963.526611328125,1101.6569906282082
GAT,3,2,8,1,0.1,15910753.0,3453.489501953125,3988.8285247676417
GAT,3,2,8,2,0.001,143352987648.0,328614.1875,378619.8458189956
GAT,3,2,8,2,0.01,826320.1875,787.2583618164062,909.021555024962
GAT,3,2,8,2,0.1,1027724.75,878.9255981445312,1013.7676015734572
GAT,3,2,8,4,0.001,670884.125,713.267333984375,819.0751644385269
GAT,3,2,8,4,0.01,146257.03125,331.8111267089844,382.435656352804
GAT,3,2,8,4,0.1,597877.5625,672.1016235351562,773.2254279962604
GAT,3,2,16,1,0.001,15186182.0,3382.357666015625,3896.945213882279
GAT,3,2,16,1,0.01,1011397.9375,868.7760009765625,1005.6828215197871
GAT,3,2,16,1,0.1,6404.6044921875,70.3270492553711,80.0287729019226
GAT,3,2,16,2,0.001,4367899.5,1811.9759521484375,2089.952032942383
GAT,3,2,16,2,0.01,9860120.0,2724.2919921875,3140.082801456038
GAT,3,2,16,2,0.1,17.967653274536133,3.9899239540100098,4.238826874801108
GAT,3,2,16,4,0.001,1027264.625,878.8984375,1013.5406380604578
GAT,3,2,16,4,0.01,3999854.25,1735.7159423828125,1999.9635621680711
GAT,3,2,16,4,0.1,12.10584831237793,3.190521240234375,3.479345960432496
GAT,3,2,32,1,0.001,408821.40625,555.3894653320312,639.3914342951429
GAT,3,2,32,1,0.01,2845815.0,1462.7222900390625,1686.954356229
GAT,3,2,32,1,0.1,9.773582458496094,2.8510825634002686,3.1262729341015785
GAT,3,2,32,2,0.001,4849417.5,1911.3702392578125,2202.139300770957
GAT,3,2,32,2,0.01,27202876.0,4524.55126953125,5215.637640787558
GAT,3,2,32,2,0.1,23.58771514892578,4.641071796417236,4.856718557722465
GAT,3,2,32,4,0.001,5434553.5,2022.9835205078125,2331.2128817420344
GAT,3,2,32,4,0.01,9481919.0,2673.82275390625,3079.272479011885
GAT,3,2,32,4,0.1,2.182382822036743,1.3526493310928345,1.4772890110052073
GAT,3,3,8,1,0.001,49005080.0,6074.81884765625,7000.36284773868
GAT,3,3,8,1,0.01,1530455.875,1072.4058837890625,1237.1159505074695
GAT,3,3,8,1,0.1,8.39575481414795,2.657989501953125,2.897542892546709
GAT,3,3,8,2,0.001,472511680.0,18871.447265625,21737.33378314829
GAT,3,3,8,2,0.01,335796.5,503.7115478515625,579.4795078344014
GAT,3,3,8,2,0.1,8.074812889099121,2.610077381134033,2.841621524605119
GAT,3,3,8,4,0.001,43200.83984375,179.62850952148438,207.84811724850914
GAT,3,3,8,4,0.01,689695.25,721.8991088867188,830.4789280890876
GAT,3,3,8,4,0.1,5.297466278076172,2.125645875930786,2.3016225316233268
GAT,3,3,16,1,0.001,1234702.375,965.2625732421875,1111.1716226578142
GAT,3,3,16,1,0.01,3849862.25,1702.9405517578125,1962.1065847705624
GAT,3,3,16,1,0.1,3999.95263671875,55.77519989013672,63.24517876264364
GAT,3,3,16,2,0.001,164609.46875,350.1927185058594,405.7209247130347
GAT,3,3,16,2,0.01,382138.875,536.4613037109375,618.1738226421433
GAT,3,3,16,2,0.1,234910.875,419.7665100097656,484.67605160560595
GAT,3,3,16,4,0.001,1323568.0,997.708740234375,1150.4642541165717
GAT,3,3,16,4,0.01,299326.5625,475.3500061035156,547.1074505981435
GAT,3,3,16,4,0.1,2.833519458770752,1.5378952026367188,1.6833061096457624
GAT,3,3,32,1,0.001,39162.76171875,171.8315887451172,197.89583552654665
GAT,3,3,32,1,0.01,7480857.5,2374.814697265625,2735.1156282687575
GAT,3,3,32,1,0.1,2.048995018005371,1.211814045906067,1.4314311083686044
GAT,3,3,32,2,0.001,970848.0625,857.7567138671875,985.3162246202993
GAT,3,3,32,2,0.01,204524.390625,393.36181640625,452.2437292268407
GAT,3,3,32,2,0.1,2.0494751930236816,1.2350082397460938,1.4315988240508168
GAT,3,3,32,4,0.001,905124.5,826.9472045898438,951.3803130189315
GAT,3,3,32,4,0.01,9438111.0,2665.630126953125,3072.1508752012815
GAT,3,3,32,4,0.1,2.048379898071289,1.2273550033569336,1.4312162303688738
GAT,4,1,8,1,0.001,224507.40625,407.1285400390625,473.82212511658844
GAT,4,1,8,1,0.01,36337484.0,5235.80078125,6028.058062095952
GAT,4,1,8,1,0.1,1116313.5,926.3206176757812,1056.5573813096948
GAT,4,1,8,2,0.001,173077184.0,11441.30078125,13155.880206204372
GAT,4,1,8,2,0.01,278490016.0,14509.8896484375,16688.020134216044
GAT,4,1,8,2,0.1,6653867.5,2245.318603515625,2579.509158735437
GAT,4,1,8,4,0.001,9887.6025390625,87.79695129394531,99.43642460920697
GAT,4,1,8,4,0.01,2295733.0,1324.1317138671875,1515.1676474898743
GAT,4,1,8,4,0.1,8512.6533203125,81.12056732177734,92.26404131790727
GAT,4,1,16,1,0.001,1915868938240.0,1203788.25,1384149.1748507456
GAT,4,1,16,1,0.01,8501331.0,2536.44580078125,2915.704203104286
GAT,4,1,16,1,0.1,10381370.0,2800.465087890625,3222.0133457203433
GAT,4,1,16,2,0.001,2079430.625,1248.8809814453125,1442.02310140996
GAT,4,1,16,2,0.01,3224655.75,1559.3079833984375,1795.732649923145
GAT,4,1,16,2,0.1,3731009.5,1681.2061767578125,1931.5821235453593
GAT,4,1,16,4,0.001,1797843.25,1165.311767578125,1340.8367723179433
GAT,4,1,16,4,0.01,8841802.0,2590.529541015625,2973.5167731156316
GAT,4,1,16,4,0.1,15.065068244934082,3.607783794403076,3.881374530360872
GAT,4,1,32,1,0.001,141990432.0,10363.0537109375,11915.973816688253
GAT,4,1,32,1,0.01,181100512.0,11708.1748046875,13457.359027684444
GAT,4,1,32,1,0.1,18.553850173950195,4.062620639801025,4.307418040305607
GAT,4,1,32,2,0.001,4193569.0,1777.94921875,2047.8205487786277
GAT,4,1,32,2,0.01,7393373.0,2365.348876953125,2719.0757620927006
GAT,4,1,32,2,0.1,33287406.0,5016.5263671875,5769.5238971686385
GAT,4,1,32,4,0.001,5632026.0,2061.75439453125,2373.1889937381725
GAT,4,1,32,4,0.01,12436264.0,3060.854736328125,3526.508755128789
GAT,4,1,32,4,0.1,14.957565307617188,3.5928540229797363,3.867501170991056
GAT,4,2,8,1,0.001,494166802432.0,611371.5,702969.9868643042
GAT,4,2,8,1,0.01,70949608.0,7326.83935546875,8423.15902734835
GAT,4,2,8,1,0.1,20.601051330566406,4.307213306427002,4.538838103586248
